account_id,open_date,statement_frequency,district_name,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
119,1993-05-25,monthly,Plzen - jih,1,0.0,False,,,,,,32288,29,135,70508,800
121,1997-10-11,monthly,Brno - venkov,1,0.0,False,,,,,,13100,9,39,37504,200
122,1996-10-30,monthly,Tachov,1,1.0,False,,,,,,33903,6,53,86062,900
123,1993-03-13,monthly,Tabor,2,0.0,False,,,,,,4843,54,135,27494,200
124,1997-12-28,monthly,Brno - venkov,1,0.0,False,,,,,,10600,10,29,26468,800
126,1993-10-23,monthly,Kolin,1,0.0,False,,,,,,49750,41,140,118219,200
127,1994-02-02,monthly,Rokycany,1,0.0,False,,,,,,3364,10,119,23673,600
128,1993-02-19,monthly,Benesov,1,1.0,False,,,,,,38879,19,208,86413,300
129,1997-10-01,monthly,Ostrava - mesto,2,0.0,False,,,,,,6998,25,31,29052,600
130,1997-02-12,monthly,Brno - mesto,1,0.0,False,,,,,,6813,67,42,35067,300
131,1995-06-13,monthly,Usti nad Orlici,1,0.0,False,,,,,,15534,42,90,48212,5496
134,1997-12-10,monthly,Chomutov,1,1.0,False,,,,,,14446,60,27,47697,300
135,1993-06-15,monthly,Prerov,1,0.0,False,,,,,,9200,33,161,75906,700
136,1996-05-14,monthly,Ostrava - mesto,1,0.0,False,,,,,,6378,56,60,32170,600
137,1996-07-19,monthly,Karvina,1,0.0,False,,,,,,34814,44,59,81958,900
138,1995-09-19,monthly,Domazlice,2,0.0,False,,,,,,11200,100,15,21200,1100
140,1996-06-25,monthly,Karlovy Vary,1,0.0,False,,,,,,48742,27,42,84824,300
141,1996-03-06,monthly,Louny,2,0.0,False,,,,,,45248,96,69,89665,900
142,1993-02-15,monthly,Trutnov,2,0.0,False,,,,,,4555,50,137,30167,900
143,1996-11-27,monthly,Tabor,1,0.0,False,,,,,,4924,50,47,27564,500
145,1996-01-03,monthly,Tachov,1,0.0,False,,,,,,10834,28,94,68969,1100
146,1993-09-02,monthly,Kladno,1,0.0,False,,,,,,6296,17,129,38814,500
148,1993-06-21,monthly,Mlada Boleslav,1,0.0,False,,,,,,3468,3,129,27206,500
149,1997-11-16,monthly,Hradec Kralove,1,0.0,False,,,,,,14600,1,44,58484,300
150,1995-03-16,monthly,Opava,1,0.0,False,,,,,,46079,6,130,98752,1900
151,1993-09-06,monthly,Sumperk,2,0.0,False,,,,,,10700,18,147,34425,1000
152,1996-04-12,monthly,Hl.m. Praha,2,0.0,False,,,,,,9900,43,76,35746,1100
153,1993-09-19,monthly,Vsetin,1,0.0,False,,,,,,20595,35,129,53039,400
154,1994-06-21,monthly,Nachod,1,0.0,False,,,,,,21114,30,111,96137,900
155,1995-11-07,monthly,Jihlava,1,0.0,False,,,,,,12700,12,95,38532,300
156,1997-10-22,monthly,Zlin,1,0.0,False,,,,,,3481,3,25,21707,1000
157,1997-03-28,monthly,Praha - zapad,1,0.0,False,,,,,,6918,22,40,39576,200
158,1995-03-15,monthly,Litomerice,2,0.0,False,,,,,,36822,55,91,83034,700
159,1997-02-11,monthly,Karvina,1,1.0,False,,,,,,33081,58,46,103034,800
160,1993-09-04,monthly,Cheb,1,0.0,False,,,,,,18600,32,152,113217,400
161,1994-07-04,monthly,Plzen - sever,1,0.0,False,,,,,,4419,16,109,29469,900
162,1993-08-25,monthly,Prostejov,2,0.0,False,,,,,,5188,68,125,40827,200
163,1993-01-27,monthly,Sokolov,1,0.0,False,,,,,,6698,11,141,43752,900
164,1996-09-13,monthly,Prostejov,1,0.0,False,,,,,,47058,6,32,67994,200
165,1993-06-01,monthly,Klatovy,2,0.0,False,,,,,,6864,22,135,62489,1000
166,1996-08-20,monthly,Pelhrimov,1,0.0,False,,,,,,4566,49,53,31842,800
168,1993-04-27,monthly,Tachov,2,0.0,False,,,,,,3020,43,133,24794,500
169,1995-09-28,monthly,Kladno,1,0.0,False,,,,,,19188,11,82,78256,500
170,1996-07-02,monthly,Kromeriz,1,0.0,False,,,,,,25599,53,62,79183,1000
171,1996-06-08,monthly,Nachod,1,0.0,False,,,,,,6003,16,63,33192,500
172,1993-08-30,monthly,Rakovnik,2,1.0,False,,,,,,33584,7,131,78889,700
173,1993-11-26,monthly,Zdar nad Sazavou,2,0.0,True,104808.0,8734.0,12.0,A,False,25970,20,156,87882,500
174,1996-09-04,monthly,Usti nad Orlici,1,0.0,False,,,,,,3377,14,57,21345,900
177,1997-09-26,monthly,Hl.m. Praha,1,0.0,False,,,,,,29175,17,32,75171,800
178,1997-09-06,monthly,Kromeriz,1,0.0,False,,,,,,2981,10,33,18082,1000
181,1996-06-11,monthly,Tabor,1,1.0,False,,,,,,16158,59,65,52501,200
182,1996-08-24,monthly,Pardubice,1,0.0,False,,,,,,10700,200,6,16900,200
183,1993-12-12,monthly,Hradec Kralove,1,0.0,False,,,,,,21963,53,125,63967,200
184,1996-02-21,monthly,Vsetin,1,0.0,False,,,,,,29546,29,70,86912,600
185,1997-07-04,monthly,Ceska Lipa,1,1.0,False,,,,,,28846,60,37,79865,1000
187,1993-03-28,monthly,Kolin,1,0.0,False,,,,,,4197,20,135,26365,200
188,1993-04-20,monthly,Brno - mesto,1,0.0,False,,,,,,29120,36,139,100010,700
189,1997-04-16,monthly,Sumperk,1,0.0,False,,,,,,31530,48,42,76341,700
190,1995-03-02,monthly,Ostrava - mesto,1,0.0,False,,,,,,26334,44,97,69474,500
191,1997-03-17,monthly,Usti nad Labem,1,1.0,False,,,,,,66314,65,43,126097,600
192,1993-01-08,monthly,Brno - venkov,1,0.0,False,,,,,,5859,62,139,39284,300
193,1996-12-22,monthly,Jesenik,2,0.0,False,,,,,,15999,30,52,39963,300
194,1996-08-01,monthly,Chrudim,1,0.0,False,,,,,,11000,15,72,38894,400
195,1997-02-27,monthly,Karvina,2,1.0,False,,,,,,21924,7,46,56940,600
196,1993-11-14,monthly,Kladno,1,1.0,False,,,,,,19408,54,137,86238,400
197,1993-02-25,monthly,Hl.m. Praha,1,0.0,False,,,,,,32577,16,144,76344,800
198,1993-10-25,monthly,Karvina,1,0.0,False,,,,,,4299,23,121,30570,900
199,1996-10-26,monthly,Karvina,1,0.0,False,,,,,,2977,48,49,29612,700
200,1994-07-03,monthly,Pelhrimov,1,1.0,False,,,,,,26000,31,114,125341,900
201,1994-11-02,monthly,Vyskov,1,0.0,False,,,,,,23752,48,104,62199,600
204,1996-01-13,monthly,Bruntal,1,0.0,False,,,,,,2926,41,67,27125,600
205,1997-10-08,monthly,Hl.m. Praha,1,0.0,False,,,,,,10400,22,37,45527,1000
206,1995-04-08,monthly,Trebic,2,0.0,False,,,,,,10600,16,119,42635,1100
207,1993-07-25,monthly,Benesov,1,0.0,False,,,,,,9300,17,155,36471,900
208,1996-03-27,monthly,Brno - mesto,1,0.0,False,,,,,,22494,12,71,61131,700
209,1996-11-24,monthly,Litomerice,1,0.0,False,,,,,,12200,18,65,45817,900
210,1996-03-17,monthly,Rychnov nad Kneznou,1,0.0,False,,,,,,25100,48,69,56027,1000
211,1997-07-19,monthly,Plzen - sever,1,1.0,False,,,,,,48433,69,46,151101,800
213,1995-08-29,monthly,Opava,1,1.0,False,,,,,,36408,10,81,87659,1000
214,1997-03-09,monthly,Domazlice,2,0.0,False,,,,,,3146,39,39,17518,500
215,1997-11-25,monthly,Tachov,2,0.0,False,,,,,,3182,45,23,19113,1000
216,1994-05-16,monthly,Louny,1,0.0,False,,,,,,6460,64,108,36351,500
217,1995-01-20,monthly,Vsetin,1,0.0,False,,,,,,16614,23,97,48581,800
218,1996-02-06,monthly,Frydek - Mistek,1,0.0,False,,,,,,49217,38,104,146909,-2172
219,1995-09-06,monthly,Plzen - sever,1,1.0,False,,,,,,26649,76,80,81085,500
220,1993-04-09,monthly,Olomouc,1,0.0,False,,,,,,5271,54,133,36356,400
221,1996-10-30,monthly,Prachatice,1,0.0,False,,,,,,32151,7,54,69998,300
222,1993-03-15,monthly,Litomerice,1,1.0,False,,,,,,51614,72,140,106492,500
223,1995-06-13,monthly,Most,1,1.0,False,,,,,,46867,104,64,76631,800
224,1996-10-27,monthly,Cesky Krumlov,1,0.0,False,,,,,,5776,17,50,28997,1100
225,1993-07-28,monthly,Hl.m. Praha,2,0.0,False,,,,,,15400,11,179,92940,1000
226,1997-02-23,monthly,Karvina,1,1.0,True,109344.0,9112.0,12.0,C,False,28588,21,55,80433,1000
227,1995-03-28,monthly,Plzen - jih,1,1.0,False,,,,,,67038,20,91,119200,700
228,1993-09-28,monthly,Kolin,1,0.0,False,,,,,,32403,12,129,81057,800
229,1997-06-07,monthly,Hl.m. Praha,1,0.0,False,,,,,,5492,18,39,32493,1100
230,1996-02-26,monthly,Hl.m. Praha,2,0.0,False,,,,,,26240,14,70,66172,600
231,1995-04-03,monthly,Domazlice,2,0.0,False,,,,,,3110,11,91,21913,900
232,1997-11-29,monthly,Jicin,1,1.0,False,,,,,,33514,12,28,84657,700
234,1993-07-15,monthly,Opava,2,0.0,False,,,,,,5810,55,127,29550,500
235,1993-10-06,monthly,Usti nad Labem,1,0.0,False,,,,,,3324,13,127,30633,1000
236,1996-03-16,monthly,Olomouc,2,0.0,False,,,,,,12800,800,11,24700,900
237,1994-03-25,monthly,Svitavy,1,0.0,False,,,,,,2910,2,111,19487,900
238,1993-08-15,monthly,Kutna Hora,1,0.0,False,,,,,,3351,39,125,21972,500
240,1997-04-28,monthly,Olomouc,2,0.0,False,,,,,,33858,13,42,67915,300
241,1996-09-29,monthly,Cesky Krumlov,1,0.0,False,,,,,,10300,6,69,41009,500
242,1996-08-29,monthly,Jesenik,1,0.0,False,,,,,,34989,11,58,72333,500
244,1993-02-08,monthly,Karlovy Vary,1,1.0,False,,,,,,10100,44,175,62976,800
245,1993-11-25,monthly,Znojmo,1,0.0,False,,,,,,47784,15,148,135093,-1211
246,1997-12-20,monthly,Znojmo,2,0.0,False,,,,,,4486,22,23,19310,700
248,1995-04-02,monthly,Hl.m. Praha,1,0.0,False,,,,,,37274,75,91,74703,700
249,1996-12-03,monthly,Plzen - sever,1,0.0,False,,,,,,26390,82,52,64867,600
250,1997-05-10,monthly,Breclav,1,0.0,False,,,,,,15200,70,46,52311,500
251,1996-04-06,monthly,Ostrava - mesto,1,0.0,False,,,,,,13436,29,74,61297,900
252,1996-12-26,monthly,Prachatice,1,0.0,False,,,,,,5798,72,45,52630,1000
253,1995-12-05,monthly,Nachod,1,1.0,False,,,,,,33464,116,75,106815,-1213
255,1996-11-03,monthly,Frydek - Mistek,1,0.0,False,,,,,,57250,119,53,101534,900
256,1995-05-14,monthly,Litomerice,1,1.0,False,,,,,,28440,74,87,76527,1100
257,1995-11-05,monthly,Praha - zapad,1,0.0,False,,,,,,48963,76,83,136264,900
258,1997-07-09,monthly,Zlin,1,0.0,False,,,,,,6177,17,37,38349,900
259,1993-10-28,monthly,Benesov,1,0.0,False,,,,,,6523,15,122,37228,600
260,1995-10-14,monthly,Karlovy Vary,2,0.0,False,,,,,,14100,35,92,56754,600
261,1996-10-07,monthly,Brno - mesto,1,0.0,False,,,,,,9800,11,57,26402,200
262,1996-01-27,monthly,Prerov,1,0.0,False,,,,,,9800,200,11,23400,200
264,1996-02-09,monthly,Cesky Krumlov,1,0.0,False,,,,,,10900,14,92,44212,900
265,1996-07-05,monthly,Prachatice,2,0.0,False,,,,,,6135,20,61,28571,600
266,1994-05-11,monthly,Pardubice,1,1.0,False,,,,,,74628,135,114,137653,400
267,1995-04-26,monthly,Louny,2,0.0,False,,,,,,4847,59,85,30016,500
268,1996-05-29,monthly,Beroun,1,0.0,False,,,,,,49695,25,65,124186,500
269,1996-08-30,monthly,Beroun,1,0.0,False,,,,,,12000,4,72,43387,700
270,1995-01-23,monthly,Plzen - jih,2,1.0,False,,,,,,35636,26,96,116900,1100
271,1996-08-13,monthly,Hl.m. Praha,1,0.0,False,,,,,,6906,18,59,62743,400
272,1996-10-23,monthly,Praha - zapad,1,0.0,False,,,,,,29762,26,53,57855,1100
274,1993-08-20,monthly,Sumperk,1,0.0,False,,,,,,30597,41,132,68094,300
275,1996-01-02,monthly,Rokycany,1,0.0,False,,,,,,3390,12,73,22668,800
276,1997-12-08,monthly,Louny,1,1.0,True,160920.0,4470.0,36.0,C,False,40234,105,27,74906,700
278,1996-04-08,monthly,Opava,1,1.0,False,,,,,,31124,60,67,97478,700
279,1993-04-14,monthly,Most,2,0.0,False,,,,,,3007,36,133,32821,400
280,1993-01-23,monthly,Klatovy,1,0.0,False,,,,,,18065,19,159,69718,300
281,1996-10-27,monthly,Hl.m. Praha,2,1.0,False,,,,,,21400,13,70,72297,900
282,1997-05-12,monthly,Jesenik,2,0.0,False,,,,,,30992,83,39,69350,200
283,1996-04-18,monthly,Chrudim,1,0.0,False,,,,,,4839,4,61,30907,800
284,1997-07-18,monthly,Brno - mesto,1,0.0,False,,,,,,29128,49,39,66377,900
285,1995-05-08,monthly,Pelhrimov,2,0.0,False,,,,,,29621,60,91,105299,600
286,1996-03-27,monthly,Novy Jicin,2,1.0,False,,,,,,35096,17,68,74623,300
287,1993-10-27,monthly,Jindrichuv Hradec,1,0.0,False,,,,,,4562,56,121,27025,600
288,1995-03-18,monthly,Klatovy,1,0.0,False,,,,,,5315,64,87,37478,900
289,1994-03-17,monthly,Hl.m. Praha,1,0.0,False,,,,,,26172,40,117,69171,300
290,1993-12-02,monthly,Breclav,1,0.0,True,123696.0,2577.0,48.0,A,False,48476,60,160,144053,300
291,1997-06-08,monthly,Melnik,1,0.0,False,,,,,,49655,77,67,168515,7419
292,1997-02-26,monthly,Semily,2,0.0,False,,,,,,4696,9,43,29120,400
293,1997-05-04,monthly,Hl.m. Praha,2,0.0,False,,,,,,16155,41,43,50469,600
294,1997-01-05,monthly,Melnik,1,1.0,False,,,,,,22935,103,49,79589,700
295,1997-11-23,monthly,Zdar nad Sazavou,1,0.0,False,,,,,,31446,35,27,64950,200
296,1996-02-14,monthly,Semily,1,0.0,False,,,,,,11200,34,75,24955,300
297,1996-09-08,monthly,Ostrava - mesto,1,0.0,False,,,,,,46581,4,99,65624,200
298,1997-12-02,monthly,Jablonec n. Nisou,2,0.0,False,,,,,,17597,50,30,46829,1100
299,1993-04-05,monthly,Vsetin,1,0.0,False,,,,,,49659,43,181,154088,600
300,1993-06-23,monthly,Hl.m. Praha,2,1.0,False,,,,,,6892,39,130,76942,400
301,1995-09-10,monthly,Prostejov,2,0.0,False,,,,,,2925,38,75,24988,300
302,1996-05-09,monthly,Melnik,1,0.0,False,,,,,,6438,23,65,37845,6438
303,1996-07-25,monthly,Novy Jicin,1,1.0,True,112752.0,3132.0,36.0,C,False,23108,22,62,72230,900
304,1997-03-20,monthly,Kladno,1,0.0,False,,,,,,49764,48,43,95914,700
305,1996-10-18,monthly,Chomutov,1,0.0,False,,,,,,4430,56,49,23264,200
306,1993-06-08,monthly,Jindrichuv Hradec,1,0.0,False,,,,,,8600,22,150,34237,1000
307,1997-08-07,monthly,Plzen - mesto,1,1.0,False,,,,,,33120,70,35,74048,700
308,1995-10-16,monthly,Trebic,1,0.0,False,,,,,,13700,5,29,40581,400
309,1997-04-25,monthly,Ceske Budejovice,1,0.0,True,91248.0,1901.0,48.0,C,False,28726,22,42,59726,900
311,1997-08-08,monthly,Svitavy,2,1.0,False,,,,,,24288,48,38,68833,800
312,1996-01-03,monthly,Usti nad Labem,1,0.0,False,,,,,,17595,41,80,74047,500
313,1996-07-06,monthly,Opava,2,0.0,False,,,,,,3442,13,61,27975,700
315,1997-12-08,monthly,Jicin,1,0.0,False,,,,,,11700,200,7,24900,400
316,1997-05-08,monthly,Uherske Hradiste,1,0.0,False,,,,,,42752,5,69,70011,600
317,1993-03-10,monthly,Sumperk,1,0.0,False,,,,,,5922,2,141,43822,800
318,1994-09-16,monthly,Liberec,1,0.0,False,,,,,,12300,35,134,46629,200
320,1997-01-23,monthly,Pardubice,1,0.0,False,,,,,,30888,19,86,59073,800
321,1993-11-11,monthly,Pardubice,1,0.0,False,,,,,,5163,60,120,38693,1100
322,1993-02-20,monthly,Hl.m. Praha,2,0.0,False,,,,,,24969,29,144,59676,1000
323,1997-02-23,monthly,Usti nad Orlici,2,0.0,False,,,,,,6836,59,41,36131,200
324,1996-08-23,monthly,Hl.m. Praha,1,0.0,False,,,,,,5279,54,53,40672,500
325,1996-10-06,monthly,Prerov,1,0.0,False,,,,,,5849,20,55,27579,300
326,1997-08-06,monthly,Trebic,1,0.0,False,,,,,,5376,22,35,26543,5376
327,1993-06-02,monthly,Brno - mesto,1,0.0,False,,,,,,23562,71,143,82657,700
328,1997-09-18,monthly,Hl.m. Praha,2,0.0,False,,,,,,6973,36,29,28582,600
329,1996-10-19,monthly,Beroun,1,1.0,False,,,,,,35763,44,53,86907,1100
330,1996-11-24,monthly,Havlickuv Brod,2,0.0,True,331584.0,6908.0,48.0,C,False,33590,32,51,73943,400
331,1995-10-02,monthly,Znojmo,1,0.0,False,,,,,,6682,20,79,32991,1100
332,1996-01-12,monthly,Liberec,1,0.0,False,,,,,,12600,35,91,41712,300
333,1996-12-23,monthly,Opava,1,0.0,False,,,,,,2998,42,45,23460,700
334,1993-05-24,monthly,Hl.m. Praha,1,0.0,False,,,,,,27558,28,138,102027,500
335,1996-01-20,monthly,Ostrava - mesto,1,0.0,False,,,,,,5715,38,68,33757,1000
336,1995-10-16,monthly,Uherske Hradiste,1,0.0,False,,,,,,27706,44,78,66275,500
337,1995-11-25,monthly,Pelhrimov,2,0.0,False,,,,,,49461,50,82,136965,200
338,1995-11-18,monthly,Semily,1,0.0,False,,,,,,7700,22,80,27654,700
340,1993-11-03,monthly,Hl.m. Praha,2,0.0,False,,,,,,5774,16,125,47681,1000
341,1996-11-19,monthly,Plzen - sever,1,0.0,False,,,,,,22940,43,52,48204,600
342,1996-10-13,monthly,Zlin,1,0.0,False,,,,,,3498,48,49,24092,1000
343,1994-04-26,monthly,Pisek,1,0.0,False,,,,,,12100,14,132,32201,900
